Model Name,A53 Load (%),mcu1_0,C7x Load (%), VISS (%), LDC , BLNF, MSC_0 (%), MSC_1 (%), DOF , SDE , GPU , VISS (%), LDC , BLNF, MSC_0 (%), MSC_1 (%), DOF , SDE , GPU ,DDR Read BW (MB/s),DDR Read Peak BW (MB/s),DDR Write BW (MB/s),DDR Write Peak BW (MB/s),DDR Total BW (MB/s),DDR Total Peak BW (MB/s),temp_thermal_zone0(DDR),temp_thermal_zone1(CPU),temp_thermal_zone2(C7x),FPS
ONR-CL-6360-regNetx-200mf,11.57,2.99,15.42,18.17,0.00,0.00,26.71,13.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,760,760,336,336,1096,1096,53.91,46.79,47.92,33
ONR-OD-8200-yolox-nano-lite-mmdet-coco-416x416,9.59,2.88,26.91,17.80,0.00,0.00,26.17,14.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,943,943,401,401,1344,1344,53.91,46.12,46.79,30
TFL-CL-0000-mobileNetV1-mlperf,9.26,2.98,12.99,17.73,0.00,0.00,26.05,13.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,704,704,326,326,1030,1030,53.03,46.12,47.47,30
TFL-OD-2020-ssdLite-mobDet-DSP-coco-320x320,7.56,2.90,40.47,17.86,0.00,0.00,26.26,13.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,941,941,399,399,1340,1340,53.91,47.02,47.02,30
